2025-11-06 15:38:20 [info] L-Connect swap -> MB_on
2025-11-06 16:45:26 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:45:41 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:45:57 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:46:12 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:46:27 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:46:42 [info] hb state=normal cpu=10 gpu=0 game=False
2025-11-06 16:46:58 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:47:13 [info] hb state=normal cpu=13 gpu=0 game=False
2025-11-06 16:47:28 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:47:44 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:47:59 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:48:14 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:48:29 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:48:45 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:49:00 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:49:15 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:49:30 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:49:46 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:50:01 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:50:16 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:50:31 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:50:47 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:51:02 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:51:17 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:51:33 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:51:48 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:52:03 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:52:18 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:52:34 [info] hb state=normal cpu=12 gpu=0 game=False
2025-11-06 16:52:49 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:53:04 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:53:19 [info] hb state=normal cpu=10 gpu=0 game=False
2025-11-06 16:53:35 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:53:50 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:54:05 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:54:21 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:54:36 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:54:51 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:55:06 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:55:22 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:55:37 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:55:52 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:56:08 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:56:23 [info] hb state=normal cpu=4 gpu=0 game=False
